Name,bug,rap,voi,rob,V_bug,V_rap,V_voi,V_rob,total
Albuquerque,1722,10737,118638,50085,0.950425539,5.926085373,65.48001457,27.64347452,1811.82
Arlington,542,5024,42280,20435,0.79377865,7.357830143,61.92059284,29.92779836,682.81
Atlanta,6249,17134,234928,170759,1.456405715,3.993287809,54.75283753,39.79746894,4290.7
Aurora,594,6485,51435,19093,0.765394874,8.356204982,66.27623797,24.60216218,776.07
Austin,1456,11388,59057,43710,1.259395732,9.850273763,51.08250945,37.80782106,1156.11
Baltimore,11743,25703,434120,359125,1.413642377,3.094170997,52.26010635,43.23208028,8306.91
Boston,3043,25703,434120,359125,0.3701987,3.126919881,52.81323032,43.6896511,8219.91
Buffalo,2039,15843,184646,170604,0.54645541,4.245950495,49.48543679,45.72215731,3731.32
Charlotte,2742,9348,77670,74807,1.66619067,5.68036119,47.19658255,45.45686559,1645.67
Chicago,27727,10864,155752,84853,9.931016204,3.891173226,55.78589951,30.39191106,2791.96
Cincinnati,2057,90209,951805,891145,0.106293044,4.661443477,49.18339865,46.04886483,19352.16
Cleveland,5284,11841,60640,67274,3.643158047,8.164011059,41.80944436,46.38338654,1450.39
Columbus,3341,23770,98467,167370,1.140475443,8.114068026,33.61244999,57.13300654,2929.48
Dallas,10148,22455,71789,119480,4.532947399,10.03028516,32.06698471,53.36978273,2238.72
Denver,2616,33048,277602,251894,0.462877769,5.847547597,49.11918749,44.57038715,5651.6
Detroit,19497,16046,85652,62621,10.60680245,8.729381555,46.5965966,34.06721939,1838.16
El Paso,1075,40857,420940,436709,0.119500078,4.541781118,46.7928958,48.545823,8995.81
Fairfax,592,8830,105306,34074,0.397844115,5.934060026,70.76921009,22.89888577,1488.02
Fort Worth,3645,3617,107692,17034,2.761614692,2.740400642,81.59226596,12.9057187,1319.88
Fresno,1904,15447,73621,76925,1.134028601,9.200283507,43.84890737,45.81678053,1678.97
Honolulu,1210,6328,40373,55858,1.166051518,6.098160337,38.90660987,53.82917827,1037.69
Houston,15179,10093,367276,43096,3.48426697,2.316799956,84.30645206,9.892481017,4356.44
Indianapolis,3850,40207,150160,396877,0.651334644,6.802132994,25.40374289,67.14278947,5910.94
Jacksonville,3918,18662,173129,106835,1.295018245,6.168358982,57.22440372,35.31221905,3025.44
Kansas City,4560,17675,181038,94632,1.530689314,5.933099478,60.77037982,31.76583139,2979.05
Las Vegas,4004,15899,151613,109738,1.423624197,5.652897381,53.90607778,39.01740064,2812.54
Long Beach,2456,19199,76344,130103,1.076711296,8.416848603,33.46923745,57.03720265,2281.02
Los Angeles,32269,7505,1315263,89198,2.23433167,0.519652273,91.06987436,6.176141694,14442.35
Memphis,5667,84575,1315263,973648,0.238194013,3.554836532,55.28282544,40.92414401,23791.53
Mesa,512,84575,189082,973648,0.041031658,6.777836814,15.15302324,78.02810829,12478.17
Miami,4324,25860,50433,172534,1.708071467,10.21524703,19.92210183,68.15457968,2531.51
Miami-Dade,5409,4689,183075,14501,2.604562921,2.257865693,88.15499292,6.982578464,2076.74
Milwaukee,4053,7500,302554,168544,0.839737201,1.553917841,62.68587447,34.92047048,4826.51
Minneapolis,1831,21028,96876,171070,0.62963154,7.230962329,33.31304482,58.82636131,2908.05
Montgomery,732,12579,83265,116542,0.343471692,5.902363949,39.06990494,54.68425942,2131.18
Nashville,3149,6083,33800,32688,4.158742736,8.033544638,44.63814052,43.16957211,757.2
Nassau,703,15887,165843,85261,0.262613282,5.934761332,61.95245317,31.85017221,2676.94
New Orleans,9149,2669,29265,35070,12.01397187,3.504786417,38.42921487,46.05202684,761.53
New York,46824,12209,109681,135695,15.3819368,4.010722416,36.03080067,44.57654012,3044.09
Newark,3900,99551,1757519,2309302,0.09351908,2.38715844,42.14398965,55.37533283,41702.72
Oakland,4390,10353,108693,147736,1.618898706,3.817872052,40.08267815,54.48055109,2711.72
Oklahoma City,2553,14289,123846,131467,0.93806838,5.250316915,45.5056861,48.30592861,2721.55
Omaha,1205,15577,110626,53418,0.666386471,8.614358555,61.17814916,29.54110581,1808.26
Orlando,851,5952,71569,36715,0.739440597,5.17173964,62.18686733,31.90195244,1150.87
Philadelphia,14310,35996,78961,402202,2.6925371,6.772925608,14.85712243,75.67741486,5314.69
Phoenix,5688,19220,294561,128296,1.270309202,4.292430181,65.78473083,28.65252979,4477.65
Pittsburgh,2005,7473,197849,89068,0.676462154,2.521297593,66.75180081,30.05043945,2963.95
Portland,1395,14167,57941,79667,0.910752758,9.249200235,37.82790364,52.01214337,1531.7
Prince George's County,3386,11301,135936,109871,1.299838,4.3382957,52.18392746,42.17793884,2604.94
Raleigh,705,3290,104798,22446,0.537187879,2.506876767,79.85278766,17.10314769,1312.39
Sacramento,1920,7327,36002,68116,1.693644423,6.463194108,31.75759714,60.08556433,1133.65
Salt Lake City,562,5224,73492,19738,0.567585037,5.275915004,74.2223479,19.93415206,990.16
San Antonio,5420,22150,25223,91720,3.750527634,15.32734079,17.45379308,63.46833849,1445.13
San Diego,3112,14599,134440,106365,1.203793962,5.647232666,52.0045181,41.14445528,2585.16
San Francisco,3535,14211,179318,202335,0.885079832,3.558096039,44.89695768,50.65986645,3993.99
San Jose,1483,13915,133427,43898,0.769498192,7.22020724,69.23252544,22.77776913,1927.23
Seattle,1637,11480,104852,81833,0.819311118,5.745688231,52.47795317,40.95704748,1998.02
St. Louis,6779,11879,105006,151553,2.463147262,4.316230465,38.15389311,55.06672916,2752.17
